Release Date,Release Type,Inmate Type,Gender,Race,Age,County,Offense Code,Offense,Offense Description,Sentence Date,Offense Date,Sentence (Years)
08/26/2022,SAFPF - Prob,FT,M,White,40,Midland,23990008,Property,THEFT OF FIREARM,,01/01/2015,SAFPF
08/03/2022,Parole,G2,M,Hispanic,44,Dallas,23990198,Property,THEFT PROP >=$30K<$150K,07/20/2021,10/14/2019,4 Years
03/30/2022,Discharge,J2,M,White,35,Palo Pinto,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",01/06/2022,11/13/2019,11 to 12 Months
06/09/2022,Discharge,J2,F,Black,39,Williamson,23990194,Property,"THEFT PROP >=$2,500<$30K",11/09/2021,07/05/2021,13 to 14 Months
08/24/2022,Parole,G2,F,White,38,Taylor,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",08/04/2021,12/16/2020,4 Years
09/27/2021,Discharge,MD,F,Hispanic,39,Hidalgo,23990196,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",06/27/2018,09/12/2016,11 to 12 Months
09/09/2021,SAFPF - Prob,FT,M,Hispanic,38,Bexar,23990196,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",02/25/2021,08/15/2020,SAFPF
09/08/2021,DMS,G2,F,Black,38,Denton,23990196,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",02/10/2021,03/19/2019,2 Years & Less
02/01/2022,Parole,IT,F,Hispanic,38,Taylor,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",01/31/2020,09/06/2018,7 Years
09/14/2021,SAFPF - Prob,FT,F,White,37,Parker,23990196,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",,12/27/2018,SAFPF
07/19/2022,Parole,G2,M,White,40,Montgomery,23990198,Property,THEFT PROP >=$30K<$150K,11/18/2021,11/20/2020,2 Years & Less
06/02/2022,Discharge,J2,M,Black,40,Coleman,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",12/09/2021,05/19/2021,13 to 14 Months
08/10/2022,DMS,PR,M,White,41,Brazoria,23990198,Property,THEFT PROP >=$30K<$150K,07/27/2020,01/13/2019,5 Years
07/20/2022,DMS,OT,F,White,47,Smith,23990201,Property,THEFT PROP >=$150K<$300K,03/13/2019,07/12/2017,5 Years
11/15/2021,DMS,G2,M,Black,34,Harris,23990198,Property,THEFT PROP >=$30K<$150K,08/07/2019,03/20/2019,3 Years
10/14/2021,Parole,G2,M,White,40,Montgomery,23990201,Property,THEFT PROP >=$150K<$300K,08/09/2016,10/13/2015,11 to 15 Years
04/15/2022,Parole,G2,M,Black,42,Parker,23990009,Property,"THEFT PROP<$1,500  2/MORE PREV CONVIC",02/09/2016,12/18/2014,10 Years
04/18/2022,Discharge,J2,M,Hispanic,37,Bexar,23990194,Property,"THEFT PROP >=$2,500<$30K",03/29/2021,01/06/2021,17 to 18 Months
01/04/2022,DMS,OT,M,Black,41,Tarrant,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",10/27/2020,12/05/2019,3 Years
12/23/2021,Discharge,J4,M,White,42,Montgomery,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",09/21/2021,07/01/2021,6 Months & Less
12/20/2021,Parole,IT,M,Hispanic,37,Harris,23990013,Property,THEFT PROP>=$200K,04/03/2017,05/05/2015,11 to 15 Years
08/12/2022,Discharge,J2,F,White,63,Wichita,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",05/17/2021,12/18/2020,14 to 15 Months
08/19/2022,Discharge,J2,M,White,42,Rockwall,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",11/09/2021,05/14/2021,14 to 15 Months
07/28/2022,DMS,G2,M,Black,39,Harris,23990198,Property,THEFT PROP >=$30K<$150K,06/07/2022,05/07/2021,2 Years & Less
12/23/2021,Discharge,J2,F,White,39,Cooke,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",10/13/2021,02/08/2021,6 Months & Less
02/14/2022,Parole,G2,M,White,36,Victoria,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",02/19/2020,08/04/2019,7 Years
